"","year","n.fish","n.hauls","source","age","proportion","catch"
"1",2008,1757,356,"cp","a1",0.00162059305974279,2.84738200596808
"2",2009,1323,278,"cp","a1",0.00964192925520157,12.7562724046317
"3",2010,976,331,"cp","a1",0,0
"4",2011,1185,506,"cp","a1",0.0692299558055541,82.0374976295816
"5",2012,981,332,"cp","a1",0,0
"6",2013,1402,474,"cp","a1",0.00103098463389082,1.44544045671493
"7",2014,1652,557,"cp","a1",0,0
"8",2015,1263,431,"cp","a1",0.0349499959788716,44.1418449213148
"9",2016,1995,671,"cp","a1",0.00399179180183173,7.9636246446543
"10",2017,2026,684,"cp","a1",0.0175004673325986,35.4559468158448
"11",2018,1162,549,"cp","a1",0.0542025951200555,62.9834155295045
"12",2019,1190,494,"cp","a1",0,0
"13",2020,909,389,"cp","a1",0,0
"14",2008,1580,324,"ms","a1",0.0120548661195653,19.0466884689132
"15",2009,1187,316,"ms","a1",0.0203108121671833,24.1089340424466
"16",2010,1305,443,"ms","a1",0,0
"17",2011,1153,481,"ms","a1",0.0411840382359648,47.4851960860674
"18",2012,884,299,"ms","a1",0.00702873008845018,6.21339739818996
"19",2013,1215,409,"ms","a1",0,0
"20",2014,1252,423,"ms","a1",0,0
"21",2015,601,203,"ms","a1",0.0181493749808741,10.9077743635053
"22",2016,1495,502,"ms","a1",0.00534108438671829,7.98492115814384
"23",2017,1054,353,"ms","a1",0.0777931193440115,81.9939477885881
"24",2018,818,403,"ms","a1",0.172254450266538,140.904140318028
"25",2019,824,286,"ms","a1",0,0
"26",2020,509,186,"ms","a1",0,0
"27",2008,1259,63,"shore","a1",0.0190125961864637,23.9368585987578
"28",2009,1399,65,"shore","a1",0,0
"29",2010,1584,75,"shore","a1",0.000861424545277908,1.36449647972021
"30",2011,1599,81,"shore","a1",0.000521825867608821,0.834399562306505
"31",2012,1522,76,"shore","a1",0,0
"32",2013,1915,96,"shore","a1",0,0
"33",2014,1355,68,"shore","a1",0,0
"34",2015,1680,84,"shore","a1",0.0611718512180333,102.768710046296
"35",2016,1518,76,"shore","a1",0.00107056082225358,1.62511132818093
"36",2017,2235,112,"shore","a1",0.0368376051311553,82.3320474681321
"37",2018,1834,92,"shore","a1",0.0771755391611121,141.53993882148
"38",2019,1826,92,"shore","a1",0,0
"39",2020,1916,96,"shore","a1",0,0
"40",2008,1757,356,"cp","a2",0.0978084570848295,171.849459098045
"41",2009,1323,278,"cp","a2",0.00861033368253375,11.3914714619922
"42",2010,976,331,"cp","a2",0.139097894971999,135.759545492671
"43",2011,1185,506,"cp","a2",0.167871178492517,198.927346513633
"44",2012,981,332,"cp","a2",0.504069950005718,494.492620955609
"45",2013,1402,474,"cp","a2",0.00506683816929765,7.1037071133553
"46",2014,1652,557,"cp","a2",0.0412776912854362,68.1907460035406
"47",2015,1263,431,"cp","a2",0.0166351492943468,21.01019355876
"48",2016,1995,671,"cp","a2",0.528736209731111,1054.82873841357
"49",2017,2026,684,"cp","a2",0.0087289182615786,17.6847883979582
"50",2018,1162,549,"cp","a2",0.357641819245527,415.579793963302
"51",2019,1190,494,"cp","a2",0.0684084899238118,81.406103009336
"52",2020,909,389,"cp","a2",0.00188006007284388,1.70897460621509
"53",2008,1580,324,"ms","a2",0.0859245012526304,135.760711979156
"54",2009,1187,316,"ms","a2",0.00691737458390517,8.21092363109544
"55",2010,1305,443,"ms","a2",0.415886388837092,542.731737432405
"56",2011,1153,481,"ms","a2",0.152472168021981,175.800409729344
"57",2012,884,299,"ms","a2",0.764436509218121,675.761874148819
"58",2013,1215,409,"ms","a2",0.011943331099766,14.5111472862157
"59",2014,1252,423,"ms","a2",0.0501113038912617,62.7393524718596
"60",2015,601,203,"ms","a2",0.00645725001057295,3.88080725635434
"61",2016,1495,502,"ms","a2",0.592522917707361,885.821761972505
"62",2017,1054,353,"ms","a2",0.00766112368283325,8.07482436170624
"63",2018,818,403,"ms","a2",0.261601455742849,213.98999079765
"64",2019,824,286,"ms","a2",0.15167692986829,124.981790211471
"65",2020,509,186,"ms","a2",0,0
"66",2008,1259,63,"shore","a2",0.138402208447027,174.248380434807
"67",2009,1399,65,"shore","a2",0.00429034071534067,6.0021866607616
"68",2010,1584,75,"shore","a2",0.317397834899068,502.758170480124
"69",2011,1599,81,"shore","a2",0.0299421509133302,47.877499310415
"70",2012,1522,76,"shore","a2",0.230376648351956,350.633258791677
"71",2013,1915,96,"shore","a2",0.00364459322413037,6.97939602420966
"72",2014,1355,68,"shore","a2",0.0213933544127968,28.9879952293397
"73",2015,1680,84,"shore","a2",0.0134148591125337,22.5369633090566
"74",2016,1518,76,"shore","a2",0.654447247478569,993.450921672468
"75",2017,2235,112,"shore","a2",0.00706269269102747,15.7851181644464
"76",2018,1834,92,"shore","a2",0.278458900030302,510.693622655574
"77",2019,1826,92,"shore","a2",0.17232012090945,314.656540780656
"78",2020,1916,96,"shore","a2",0.000276920429975982,0.530579543833982
"79",2008,1757,356,"cp","a3",0.404312274723029,710.376666688362
"80",2009,1323,278,"cp","a3",0.331843010582587,439.028303000763
"81",2010,976,331,"cp","a3",0.083037311793066,81.0444163100324
"82",2011,1185,506,"cp","a3",0.530259467865326,628.357469420411
"83",2012,981,332,"cp","a3",0.0994438704856626,97.554436946435
"84",2013,1402,474,"cp","a3",0.720389118948632,1009.98554476598
"85",2014,1652,557,"cp","a3",0.0517029032432001,85.4131961577666
"86",2015,1263,431,"cp","a3",0.0755127811788479,95.3726426288849
"87",2016,1995,671,"cp","a3",0.023668999639571,47.2196542809441
"88",2017,2026,684,"cp","a3",0.507470375855423,1028.13498148309
"89",2018,1162,549,"cp","a3",0.0105091722471603,12.2116581512003
"90",2019,1190,494,"cp","a3",0.250020851593336,297.52481339607
"91",2020,909,389,"cp","a3",0.079048991040566,71.8555328558745
"92",2008,1580,324,"ms","a3",0.385311011260549,608.791397791667
"93",2009,1187,316,"ms","a3",0.304213036007079,361.100873740403
"94",2010,1305,443,"ms","a3",0.0134709482709029,17.5795874935283
"95",2011,1153,481,"ms","a3",0.72039565632584,830.616191743694
"96",2012,884,299,"ms","a3",0.0587788229695623,51.9604795050931
"97",2013,1215,409,"ms","a3",0.831555521706791,1010.33995887375
"98",2014,1252,423,"ms","a3",0.0350428422177909,43.8736384566742
"99",2015,601,203,"ms","a3",0.104076192951835,62.5497919640528
"100",2016,1495,502,"ms","a3",0.0145122944425992,21.6958801916858
"101",2017,1054,353,"ms","a3",0.51196658181952,539.612777237774
"102",2018,818,403,"ms","a3",0.0193072861994646,15.793360111162
"103",2019,824,286,"ms","a3",0.203614394935377,167.778261426751
"104",2020,509,186,"ms","a3",0.0881423198121694,44.8644407843942
"105",2008,1259,63,"shore","a3",0.260754556731171,328.289986924544
"106",2009,1399,65,"shore","a3",0.460991390897622,644.926955865773
"107",2010,1584,75,"shore","a3",0.0189950082807562,30.0880931167178
"108",2011,1599,81,"shore","a3",0.867069478865522,1386.44409670597
"109",2012,1522,76,"shore","a3",0.188559646861249,286.987782522821
"110",2013,1915,96,"shore","a3",0.792819071338556,1518.24852161333
"111",2014,1355,68,"shore","a3",0.0338165633756681,45.8214433740303
"112",2015,1680,84,"shore","a3",0.0742133955691815,124.678504556225
"113",2016,1518,76,"shore","a3",0.0140557235908514,21.3365884109124
"114",2017,2235,112,"shore","a3",0.353664612639461,790.440409249195
"115",2018,1834,92,"shore","a3",0.0174512479450884,32.0055887312921
"116",2019,1826,92,"shore","a3",0.219401729876381,400.627558754272
"117",2020,1916,96,"shore","a3",0.0854554662211942,163.732673279808
"118",2008,1757,356,"cp","a4",0.0199493895763518,35.0510774856501
"119",2009,1323,278,"cp","a4",0.428813427037047,567.320163970013
"120",2010,976,331,"cp","a4",0.419375284077785,409.310277259918
"121",2011,1185,506,"cp","a4",0.0183237907097175,21.7136919910152
"122",2012,981,332,"cp","a4",0.238185498990136,233.659974509323
"123",2013,1402,474,"cp","a4",0.0712218261270145,99.8530002300743
"124",2014,1652,557,"cp","a4",0.714076755530076,1179.65480013569
"125",2015,1263,431,"cp","a4",0.0345246903398935,43.6046838992855
"126",2016,1995,671,"cp","a4",0.0557206962782412,111.162789075091
"127",2017,2026,684,"cp","a4",0.0236200982903816,47.8543191363131
"128",2018,1162,549,"cp","a4",0.260326012171647,302.498826143454
"129",2019,1190,494,"cp","a4",0.0135480990382045,16.1222378554634
"130",2020,909,389,"cp","a4",0.407523437534593,370.438804718945
"131",2008,1580,324,"ms","a4",0.0348118011352933,55.0026457937634
"132",2009,1187,316,"ms","a4",0.236896730299689,281.196418865731
"133",2010,1305,443,"ms","a4",0.36687337949392,478.769760239566
"134",2011,1153,481,"ms","a4",0.026757321206377,30.8511913509527
"135",2012,884,299,"ms","a4",0.130922152957908,115.735183214791
"136",2013,1215,409,"ms","a4",0.0451646973882386,54.8751073267099
"137",2014,1252,423,"ms","a4",0.746256440337061,934.313063302
"138",2015,601,203,"ms","a4",0.0477425034992284,28.6932446030363
"139",2016,1495,502,"ms","a4",0.0510490438125395,76.3183204997466
"140",2017,1054,353,"ms","a4",0.0220537399429825,23.2446418999036
"141",2018,818,403,"ms","a4",0.272416835257684,222.836971240786
"142",2019,824,286,"ms","a4",0.00943187257725326,7.77186300365669
"143",2020,509,186,"ms","a4",0.403566262497296,205.415227611124
"144",2008,1259,63,"shore","a4",0.0232041744271694,29.2140556038063
"145",2009,1399,65,"shore","a4",0.271733009750824,380.154480641403
"146",2010,1584,75,"shore","a4",0.382665830334378,606.142675249655
"147",2011,1599,81,"shore","a4",0.033745622888931,53.9592509994007
"148",2012,1522,76,"shore","a4",0.510182762532999,776.498164575224
"149",2013,1915,96,"shore","a4",0.0592784220966381,113.518178315062
"150",2014,1355,68,"shore","a4",0.639942698920367,867.122357037097
"151",2015,1680,84,"shore","a4",0.0491176734025578,82.5176913162971
"152",2016,1518,76,"shore","a4",0.0325463045234921,49.405290266661
"153",2017,2235,112,"shore","a4",0.0263230250745588,58.8319610416389
"154",2018,1834,92,"shore","a4",0.314503506795154,576.799431462312
"155",2019,1826,92,"shore","a4",0.00896320114348129,16.3668052879968
"156",2020,1916,96,"shore","a4",0.346996552254372,664.845394119377
"157",2008,1757,356,"cp","a5",0.125670481649056,220.803036257391
"158",2009,1323,278,"cp","a5",0.0195518295004875,25.867070429145
"159",2010,976,331,"cp","a5",0.293130003574582,286.094883488792
"160",2011,1185,506,"cp","a5",0.091229554972727,108.107022642681
"161",2012,981,332,"cp","a5",0.0294996541238742,28.9391606955206
"162",2013,1402,474,"cp","a5",0.138043506774925,193.536996498445
"163",2014,1652,557,"cp","a5",0.0598171813480793,98.817983587027
"164",2015,1263,431,"cp","a5",0.764507367476504,965.572805122825
"165",2016,1995,671,"cp","a5",0.0223183021629481,44.5250128150815
"166",2017,2026,684,"cp","a5",0.0499038774929879,101.105255800793
"167",2018,1162,549,"cp","a5",0.0213500885449346,24.808802889214
"168",2019,1190,494,"cp","a5",0.39001451235696,464.117269704782
"169",2020,909,389,"cp","a5",0.0115610134938694,10.5089612659273
"170",2008,1580,324,"ms","a5",0.14884644179991,235.177378043858
"171",2009,1187,316,"ms","a5",0.039442448006524,46.818185783744
"172",2010,1305,443,"ms","a5",0.128082652480719,167.147861487338
"173",2011,1153,481,"ms","a5",0.0355807543764839,41.0246097960859
"174",2012,884,299,"ms","a5",0.0134306094738957,11.8726587749238
"175",2013,1215,409,"ms","a5",0.0750772374298506,91.2188434772685
"176",2014,1252,423,"ms","a5",0.047481305906167,59.4465949945211
"177",2015,601,203,"ms","a5",0.714164486902259,429.212856628258
"178",2016,1495,502,"ms","a5",0.0244216285811307,36.5103347287904
"179",2017,1054,353,"ms","a5",0.0340527456919086,35.8915939592717
"180",2018,818,403,"ms","a5",0.00687435956170945,5.62322612147833
"181",2019,824,286,"ms","a5",0.365177260651776,300.906062777063
"182",2020,509,186,"ms","a5",0.0255986365012887,13.0297059791559
"183",2008,1259,63,"shore","a5",0.217199040175848,273.453591581393
"184",2009,1399,65,"shore","a5",0.022434222577916,31.3854773865045
"185",2010,1584,75,"shore","a5",0.165145803381962,261.590952557028
"186",2011,1599,81,"shore","a5",0.0303735611364282,48.5673242571487
"187",2012,1522,76,"shore","a5",0.0152538326584233,23.2163333061203
"188",2013,1915,96,"shore","a5",0.0979084011001102,187.494588106711
"189",2014,1355,68,"shore","a5",0.0825741277141926,111.887943052731
"190",2015,1680,84,"shore","a5",0.672419054748467,1129.66401197742
"191",2016,1518,76,"shore","a5",0.0155485264381075,23.6026631330472
"192",2017,2235,112,"shore","a5",0.0365761537002583,81.7477035200773
"193",2018,1834,92,"shore","a5",0.0123815833483552,22.7078238608834
"194",2019,1826,92,"shore","a5",0.307740566739871,561.934274867004
"195",2020,1916,96,"shore","a5",0.0143399572390471,27.4753580700142
"196",2008,1757,356,"cp","a6",0.0113204874450569,19.890096440965
"197",2009,1323,278,"cp","a6",0.0804231908305839,106.399881468863
"198",2010,976,331,"cp","a6",0.0126855853152386,12.3811312676729
"199",2011,1185,506,"cp","a6",0.0721537550796657,85.5021997694039
"200",2012,981,332,"cp","a6",0.0530241027999937,52.0166448467938
"201",2013,1402,474,"cp","a6",0.0150429141362462,21.0901656190172
"202",2014,1652,557,"cp","a6",0.0889352329210274,146.921004785537
"203",2015,1263,431,"cp","a6",0.0320138667377255,40.4335136897473
"204",2016,1995,671,"cp","a6",0.313137458869174,624.709230444002
"205",2017,2026,684,"cp","a6",0.0307786619764535,62.3575691642948
"206",2018,1162,549,"cp","a6",0.0265207244985566,30.8170818673228
"207",2019,1190,494,"cp","a6",0.014776971399189,17.5845959650349
"208",2020,909,389,"cp","a6",0.31654753102608,287.741705702707
"209",2008,1580,324,"ms","a6",0.00717303691825953,11.3333983308501
"210",2009,1187,316,"ms","a6",0.101715679295595,120.736511323871
"211",2010,1305,443,"ms","a6",0.0131905400787359,17.2136548027504
"212",2011,1153,481,"ms","a6",0.0160354450358498,18.4888681263348
"213",2012,884,299,"ms","a6",0.00843651808850042,7.45788199023437
"214",2013,1215,409,"ms","a6",0.00248464280423815,3.01884100714935
"215",2014,1252,423,"ms","a6",0.0750839289908551,94.0050790965506
"216",2015,601,203,"ms","a6",0.0399863826608975,24.0318159791994
"217",2016,1495,502,"ms","a6",0.268205049308003,400.966548715464
"218",2017,1054,353,"ms","a6",0.0128451913204813,13.5388316517873
"219",2018,818,403,"ms","a6",0.0231218874462415,18.9137039310255
"220",2019,824,286,"ms","a6",0.0123635780699825,10.1875883296656
"221",2020,509,186,"ms","a6",0.283891343386377,144.500693783666
"222",2008,1259,63,"shore","a6",0.0134495090305676,16.9329318694846
"223",2009,1399,65,"shore","a6",0.0889364303720535,124.422066090503
"224",2010,1584,75,"shore","a6",0.0158273399415021,25.0705064673393
"225",2011,1599,81,"shore","a6",0.016559854307275,26.4792070373327
"226",2012,1522,76,"shore","a6",0.0238973756014127,36.3718056653501
"227",2013,1915,96,"shore","a6",0.00671633327362977,12.861778219001
"228",2014,1355,68,"shore","a6",0.151019125280932,204.630914755663
"229",2015,1680,84,"shore","a6",0.0405157096403286,68.066392195752
"230",2016,1518,76,"shore","a6",0.220325705512584,334.454420968103
"231",2017,2235,112,"shore","a6",0.0249944576593546,55.8626128686575
"232",2018,1834,92,"shore","a6",0.0239887007258047,43.9952771311258
"233",2019,1826,92,"shore","a6",0.0185079631018238,33.7955406239303
"234",2020,1916,96,"shore","a6",0.312492359172798,598.735360175081
"235",2008,1757,356,"cp","a7",0.0424656905627988,74.6122183188375
"236",2009,1323,278,"cp","a7",0.00905110587378389,11.9746130710161
"237",2010,976,331,"cp","a7",0.0141902348633719,13.849669226651
"238",2011,1185,506,"cp","a7",0.0147262697133023,17.4506296102632
"239",2012,981,332,"cp","a7",0.027203774648187,26.6869029298714
"240",2013,1402,474,"cp","a7",0.011947834785273,16.7508643689527
"241",2014,1652,557,"cp","a7",0.00889623501656134,14.6965802473593
"242",2015,1263,431,"cp","a7",0.0216437801079497,27.3360942763405
"243",2016,1995,671,"cp","a7",0.0155923643542125,31.1067668866539
"244",2017,2026,684,"cp","a7",0.287886295506725,583.257634696625
"245",2018,1162,549,"cp","a7",0.0269353720400238,31.2989023105077
"246",2019,1190,494,"cp","a7",0.0408661931046183,48.6307697944958
"247",2020,909,389,"cp","a7",0.0185427215983081,16.8553339328621
"248",2008,1580,324,"ms","a7",0.0273238679068074,43.1717112927557
"249",2009,1187,316,"ms","a7",0.00872732303700309,10.3593324449227
"250",2010,1305,443,"ms","a7",0.0188883456106206,24.6492910218599
"251",2011,1153,481,"ms","a7",0.00204993892057555,2.36357957542361
"252",2012,884,299,"ms","a7",0.00874587076463124,7.73134975593402
"253",2013,1215,409,"ms","a7",0.00958716569940582,11.6484063247781
"254",2014,1252,423,"ms","a7",0.0100928070982849,12.6361944870527
"255",2015,601,203,"ms","a7",0.0412588436807293,24.7965650521183
"256",2016,1495,502,"ms","a7",0.0153914100348093,23.0101580020399
"257",2017,1054,353,"ms","a7",0.277308078661017,292.282714908712
"258",2018,818,403,"ms","a7",0.0175411476037696,14.3486587398835
"259",2019,824,286,"ms","a7",0.0400808614362375,33.0266298234597
"260",2020,509,186,"ms","a7",0.0158631539484849,8.07434535977881
"261",2008,1259,63,"shore","a7",0.0385051907866926,48.478035200446
"262",2009,1399,65,"shore","a7",0.00515273587479912,7.20867748884397
"263",2010,1584,75,"shore","a7",0.0295979324274586,46.8831249650944
"264",2011,1599,81,"shore","a7",0.00409052335736983,6.54074684843436
"265",2012,1522,76,"shore","a7",0.0118304120604971,18.0058871560766
"266",2013,1915,96,"shore","a7",0.0137920756231877,26.4118248184044
"267",2014,1355,68,"shore","a7",0.0129809962766669,17.5892499548836
"268",2015,1680,84,"shore","a7",0.050646551062347,85.086205784743
"269",2016,1518,76,"shore","a7",0.0159979908351021,24.284950087685
"270",2017,2235,112,"shore","a7",0.430330387153475,961.788415288017
"271",2018,1834,92,"shore","a7",0.0260918571143186,47.8524659476603
"272",2019,1826,92,"shore","a7",0.0335976998287312,61.3493998872632
"273",2020,1916,96,"shore","a7",0.0121477084689169,23.2750094264448
"274",2008,1757,356,"cp","a8",0.0336512806204525,59.125300050135
"275",2009,1323,278,"cp","a8",0.0128368533330016,16.9831569595611
"276",2010,976,331,"cp","a8",0.000554030733650667,0.540733996043051
"277",2011,1185,506,"cp","a8",0.00688155017461967,8.15463695692431
"278",2012,981,332,"cp","a8",0.0163982891382204,16.0867216445942
"279",2013,1402,474,"cp","a8",0.0144286989319674,20.2290359026183
"280",2014,1652,557,"cp","a8",0.0202549879485445,33.4612400909955
"281",2015,1263,431,"cp","a8",0.00334197192324082,4.22091053905316
"282",2016,1995,671,"cp","a8",0.0206096928301426,41.1163371961345
"283",2017,2026,684,"cp","a8",0.0301233449213106,61.0298968105753
"284",2018,1162,549,"cp","a8",0.193612197608241,224.977373620776
"285",2019,1190,494,"cp","a8",0.0180581933172158,21.4892500474868
"286",2020,909,389,"cp","a8",0.0161110832798777,14.6449747014088
"287",2008,1580,324,"ms","a8",0.0333057654539683,52.6231094172699
"288",2009,1187,316,"ms","a8",0.0303540878909468,36.0303023265539
"289",2010,1305,443,"ms","a8",0.00379310505149177,4.95000209219676
"290",2011,1153,481,"ms","a8",0.00108978942837416,1.25652721091541
"291",2012,884,299,"ms","a8",0.0032097086049739,2.83738240679693
"292",2013,1215,409,"ms","a8",0.0117662529609301,14.2959973475301
"293",2014,1252,423,"ms","a8",0.0127920467650886,16.0156425498909
"294",2015,601,203,"ms","a8",0.010696696058973,6.42871433144277
