"predator_age","wtg","prey_a1","prey_a2","prey_a3","prey_a5"
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,0.5,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a1",1,1,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,0.25,0,0,0
"pred_a2",1,0.5,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,0.5,0,0,0
"pred_a2",1,0.5,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,0.5,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,1,0,0,0
"pred_a2",1,0.0303030303030303,0,0,0
"pred_a3",1,1,0,0,0
"pred_a3",1,1,0,0,0
"pred_a3",1,1,0,0,0
"pred_a3",1,1,0,0,0
"pred_a3",1,0.5,0,0,0
"pred_a3",1,0.5,0,0,0
"pred_a3",1,0.5,0,0,0
"pred_a3",1,0.5,0,0,0
"pred_a3",1,0.5,0,0,0
"pred_a3",1,0.480988288143751,0,0,0
"pred_a3",1,1,0,0,0
"pred_a3",1,0.5,0,0,0
"pred_a3",1,1,0,0,0
"pred_a3",1,0.5,0,0,0
"pred_a3",1,0.919364691508858,0,0,0
"pred_a4",1,1,0,0,0
"pred_a4",1,1,0,0,0
"pred_a4",1,1,0,0,0
"pred_a4",1,0.5,0,0,0
"pred_a4",1,0.5,0,0,0
"pred_a4",1,0.905555555555556,0,0,0
"pred_a4",1,1,0,0,0
"pred_a4",1,1,0,0,0
"pred_a4",1,0.5,0,0,0
"pred_a4",1,1,0,0,0
"pred_a4",1,0.25,0,0,0
"pred_a4",1,1,0,0,0
"pred_a4",1,1,0,0,0
"pred_a4",1,0.196652719665272,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,0.5,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,0.247759670508362,0,0,0
"pred_a5",1,0.333333333333333,0,0,0
"pred_a5",1,1,0,0,0
"pred_a5",1,0.2,0,0,0
"pred_a5",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,0.333333333333333,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,0.5,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,0.90175788555043,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,0.25,0,0,0
"pred_a6",1,0.5,0,0,0
"pred_a6",1,0.25,0,0,0
"pred_a6",1,1,0,0,0
"pred_a6",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,0.5,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,0.5,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,0.5,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,0.333333333333333,0,0,0
"pred_a7",1,1,0,0,0
"pred_a7",1,0.326312983204479,0,0,0
"pred_a7",1,1,0,0,0
"pred_a8",1,0.5,0,0,0
"pred_a8",1,1,0,0,0
"pred_a8",1,1,0,0,0
"pred_a8",1,1,0,0,0
"pred_a8",1,0.5,0,0,0
"pred_a8",1,0.5,0,0,0
"pred_a8",1,1,0,0,0
"pred_a8",1,1,0,0,0
"pred_a8",1,1,0,0,0
"pred_a8",1,1,0,0,0
"pred_a8",1,0.333333333333333,0,0,0
"pred_a8",1,0.945023696682464,0,0,0
"pred_a8",1,0.5,0,0,0
"pred_a8",1,1,0,0,0
"pred_a8",1,0.5,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,0.5,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,0,1,0,0
"pred_a9",1,0.5,0,0,0
"pred_a9",1,1,0,0,0
"pred_a9",1,0.142857142857143,0,0,0
"pred_a9",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a10",1,1,0,0,0
"pred_a11",1,1,0,0,0
"pred_a11",1,1,0,0,0
"pred_a11",1,1,0,0,0
"pred_a11",1,1,0,0,0
"pred_a11",1,1,0,0,0
"pred_a11",1,0,1,0,0
"pred_a12",1,0.5,0,0,0
"pred_a13",1,1,0,0,0
"pred_a13",1,1,0,0,0
"pred_a13",1,0.5,0,0,0
"pred_a13",1,1,0,0,0
"pred_a13",1,1,0,0,0
"pred_a13",1,1,0,0,0
"pred_a13",1,0.5,0,0,0
"pred_a14",1,0.866597338879556,0,0,0
"pred_a14",1,0.102925099325387,0,0,0
"pred_a15",1,0,0,0,1
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0,0.5,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.333333333333333,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.25,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,0,1,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.24692611996151,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,0,0.5,0,0
"pred_a15",1,0,1,0,0
"pred_a15",1,0,1,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0,1,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0.333333333333333,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,0,0,1,0
"pred_a15",1,0,0,1,0
"pred_a15",1,0,0,0,1
"pred_a15",1,1,0,0,0
"pred_a15",1,0.467597366542397,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,1,0,0,0
"pred_a15",1,0,0.166666666666667,0,0
"pred_a15",1,0.166666666666667,0,0,0
"pred_a15",1,0.5,0,0,0
"pred_a15",1,1,0,0,0
