"","nation","year","month","total_catch"
"1","Canada","2007","1",3.3085029656
"2","Canada","2007","2",3.4663531208
"3","Canada","2007","3",2.6956996332
"4","Canada","2007","4",519.4095644248
"5","Canada","2007","5",3942.3103476744
"6","Canada","2007","6",2157.2822792532
"7","Canada","2007","7",5457.0104998752
"8","Canada","2007","8",17700.9208715552
"9","Canada","2007","9",24625.7405020964
"10","Canada","2007","10",13927.4621091504
"11","Canada","2007","11",3999.5505334076
"12","Canada","2007","12",1226.4848196864
"13","Canada","2008","1",11.289914836
"14","Canada","2008","2",139.500074658
"15","Canada","2008","3",54.780354148
"16","Canada","2008","4",1077.6003718648
"17","Canada","2008","5",1451.0706639212
"18","Canada","2008","6",3439.7662558664
"19","Canada","2008","7",14158.4372559316
"20","Canada","2008","8",16055.7244538364
"21","Canada","2008","9",13226.5697718932
"22","Canada","2008","10",19797.2226421448
"23","Canada","2008","11",4593.4399699124
"24","Canada","2008","12",599.957595632
"25","Canada","2009","1",175.6051225132
"26","Canada","2009","2",24.435022588
"27","Canada","2009","3",2.7356157644
"28","Canada","2009","4",654.293429228
"29","Canada","2009","5",887.3433076468
"30","Canada","2009","6",2755.2368108468
"31","Canada","2009","7",10521.1677972572
"32","Canada","2009","8",16158.179183594
"33","Canada","2009","9",15818.7478260108
"34","Canada","2009","10",9068.9441014552
"35","Canada","2009","11",1194.712486436
"36","Canada","2009","12",97.8153866904
"37","Canada","2010","1",22.7281543868
"38","Canada","2010","2",78.3385826268
"39","Canada","2010","3",15.7596143456
"40","Canada","2010","4",364.9450228984
"41","Canada","2010","5",4416.7997495424
"42","Canada","2010","6",2240.9020381932
"43","Canada","2010","7",9198.2261001184
"44","Canada","2010","8",16174.0295164196
"45","Canada","2010","9",13666.4899897724
"46","Canada","2010","10",7347.167225252
"47","Canada","2010","11",2780.5454523972
"48","Canada","2010","12",710.3107298508
"49","Canada","2011","1",10.27386786
"50","Canada","2011","2",6.5457919244
"51","Canada","2011","3",9.4388042516
"52","Canada","2011","4",7.039754048
"53","Canada","2011","5",3272.2523145844
"54","Canada","2011","6",2100.3078986664
"55","Canada","2011","7",4949.2314981788
"56","Canada","2011","8",14423.312991504
"57","Canada","2011","9",13799.4025420052
"58","Canada","2011","10",11093.5347279744
"59","Canada","2011","11",6087.1868747876
"60","Canada","2011","12",314.2497219048
"61","Canada","2012","1",3.5915446232
"62","Canada","2012","2",8.2635463432
"63","Canada","2012","3",6.688219938
"64","Canada","2012","4",80.3284924856
"65","Canada","2012","5",1958.8061207472
"66","Canada","2012","6",1634.8862624668
"67","Canada","2012","7",3218.4272260308
"68","Canada","2012","8",12074.0713157556
"69","Canada","2012","9",13472.6404737464
"70","Canada","2012","10",11311.2182566584
"71","Canada","2012","11",2855.7220424036
"72","Canada","2012","12",434.58687844
"73","Canada","2013","1",1.7005179076
"74","Canada","2013","2",2.7700887868
"75","Canada","2013","3",0.1161196544
"76","Canada","2013","4",27.8138323756
"77","Canada","2013","5",3238.9187162932
"78","Canada","2013","6",6131.0601460852
"79","Canada","2013","7",5527.3005389564
"80","Canada","2013","8",13673.2371767224
"81","Canada","2013","9",14462.1255323948
"82","Canada","2013","10",8348.8203536228
"83","Canada","2013","11",742.4663486792
"84","Canada","2013","12",92.7532955064
"85","Canada","2014","1",8.3606151168
"86","Canada","2014","2",6.3893025464
"87","Canada","2014","3",1.594377286
"88","Canada","2014","4",1.4052292552
"89","Canada","2014","5",4955.7958873916
"90","Canada","2014","6",6044.910248738
"91","Canada","2014","7",7816.1459330524
"92","Canada","2014","8",4211.6793695612
"93","Canada","2014","9",6308.2151938292
"94","Canada","2014","10",5443.6290704828
"95","Canada","2014","11",317.4684135752
"96","Canada","2014","12",2.626299996
"97","Canada","2015","1",14.5426259364
"98","Canada","2015","2",2.6911637092
"99","Canada","2015","3",5.685780734
"100","Canada","2015","4",125.2060173568
"101","Canada","2015","5",2794.6943601304
"102","Canada","2015","6",5327.290784546
"103","Canada","2015","7",9954.4258658924
"104","Canada","2015","8",8556.7543672612
"105","Canada","2015","9",6597.0873281388
"106","Canada","2015","10",3565.742019526
"107","Canada","2015","11",2143.1102383076
"108","Canada","2015","12",596.7407183312
"109","Canada","2016","1",42.2766260496
"110","Canada","2016","2",9.2573672916
"111","Canada","2016","3",336.0852064484
"112","Canada","2016","4",3636.0229867592
"113","Canada","2016","5",10667.259476672
"114","Canada","2016","6",14530.2278953308
"115","Canada","2016","7",11586.4944123704
"116","Canada","2016","8",7395.2167217764
"117","Canada","2016","9",13153.7768099488
"118","Canada","2016","10",7857.2028491384
"119","Canada","2016","11",519.4862215404
"120","Canada","2016","12",9.5449448732
"121","Canada","2017","1",1.3839104124
"122","Canada","2017","2",4.0723525672
"123","Canada","2017","3",2.0352690988
"124","Canada","2017","4",820.1376968856
"125","Canada","2017","5",10979.2525763868
"126","Canada","2017","6",13193.4502692148
"127","Canada","2017","7",18017.5487784132
"128","Canada","2017","8",15959.5701225148
"129","Canada","2017","9",17122.4676380148
"130","Canada","2017","10",8007.7347445568
"131","Canada","2017","11",2605.8121344768
"132","Canada","2017","12",7.277890058
"133","Canada","2018","1",1.3898071136
"134","Canada","2018","2",2.8716934844
"135","Canada","2018","3",1.0877145752
"136","Canada","2018","4",1900.8977934088
"137","Canada","2018","5",12822.8902259968
"138","Canada","2018","6",17907.6474222248
"139","Canada","2018","7",17652.8201190896
"140","Canada","2018","8",14982.30438953
"141","Canada","2018","9",14736.5099254484
"142","Canada","2018","10",10861.4773097268
"143","Canada","2018","11",4252.5725387908
"144","Canada","2018","12",290.3880401104
"145","Canada","2019","1",2.9524329316
"146","Canada","2019","2",24.4926288228
"147","Canada","2019","3",34.649923436
"148","Canada","2019","4",1102.3016531916
"149","Canada","2019","5",12974.600100878
"150","Canada","2019","6",13516.239321642
"151","Canada","2019","7",18122.0351485304
"152","Canada","2019","8",16927.6120540456
"153","Canada","2019","9",13311.1978667384
"154","Canada","2019","10",10980.1783584752
"155","Canada","2019","11",7226.8899429136
"156","Canada","2019","12",348.186598088
"157","Canada","2020","1",0.0190508808
"158","Canada","2020","2",21.9189455452
"159","Canada","2020","3",54.5431253228
"160","Canada","2020","4",2129.4013152024
"161","Canada","2020","5",10368.074465556
"162","Canada","2020","6",14084.731212486
"163","Canada","2020","7",17406.4241914856
"164","Canada","2020","8",16322.9956108732
"165","Canada","2020","9",12706.8662795932
"166","Canada","2020","10",11945.4801383176
"167","Canada","2020","11",5353.2394449728
"168","Canada","2020","12",968.6923830324
"169","US","1981","1",0.03856
"170","US","1981","4",210.98668
"171","US","1981","5",195.55728
"172","US","1981","6",246.01036
"173","US","1981","7",137.64306
"174","US","1981","8",35.48589
"175","US","1981","9",8.82056
"176","US","1981","10",2.81409
"177","US","1981","12",1.12309
"178","US","1982","1",5.86631
"179","US","1982","2",0.00907
"180","US","1982","3",6.44918
"181","US","1982","4",117.6605
"182","US","1982","5",88.97487
"183","US","1982","6",106.89766
"184","US","1982","7",63.6762
"185","US","1982","8",81.46201
"186","US","1982","9",168.11993
"187","US","1982","10",312.94608
"188","US","1982","11",61.77656
"189","US","1982","12",8.96389
"190","US","1983","4",140.96109
"191","US","1983","5",261.59443
"192","US","1983","6",239.00462
"193","US","1983","7",69.17102
"194","US","1983","8",121.89206
"195","US","1983","9",121.83718
"196","US","1983","10",75.18883
"197","US","1983","11",16.25221
"198","US","1983","12",4.89472
"199","US","1984","1",0.11884
"200","US","1984","2",0.87906
"201","US","1984","3",67.90096
"202","US","1984","4",138.45181
"203","US","1984","5",385.45962
"204","US","1984","6",432.96616
"205","US","1984","7",785.72495
"206","US","1984","8",768.67215
"207","US","1984","9",138.32753
"208","US","1984","10",1.50593
"209","US","1984","11",0.19278
"210","US","1984","12",0.47582
"211","US","1985","1",0.0635
"212","US","1985","2",0.16329
"213","US","1985","4",322.45428
"214","US","1985","5",1156.3775
"215","US","1985","6",742.83507
"216","US","1985","7",887.49566
"217","US","1985","8",609.33739
"218","US","1985","9",173.87828
"219","US","1985","10",1.41612
"220","US","1986","1",0.56788
"221","US","1986","2",1.02391
"222","US","1986","3",1.25843
"223","US","1986","4",537.16611
"224","US","1986","5",1052.4296
"225","US","1986","6",890.59245
"226","US","1986","7",471.79825
"227","US","1986","8",373.66283
"228","US","1986","9",38.78671
"229","US","1986","10",64.34109
"230","US","1986","11",0.22394
"231","US","1986","12",0.09241
"232","US","1987","1",0.0626
"233","US","1987","2",0.36469
"234","US","1987","3",29.92893
"235","US","1987","4",882.68576
"236","US","1987","5",1053.0419
"237","US","1987","6",1391.13696
"238","US","1987","7",1074.28817
"239","US","1987","8",244.86685
"240","US","1987","9",53.25174
"241","US","1987","10",49.33815
"242","US","1987","11",16.29304
"243","US","1987","12",0.04491
"244","US","1988","3",501.94622
"245","US","1988","4",1515.3496
"246","US","1988","5",1850.87913
"247","US","1988","6",1884.3166
"248","US","1988","7",946.44543
"249","US","1988","8",40.79156
"250","US","1988","9",24.55477
"251","US","1988","10",68.76279
"252","US","1988","11",0.02268
"253","US","1988","12",34.35599
"254","US","1989","1",0.03493
"255","US","1989","2",0.08029
"256","US","1989","3",72.46183
"257","US","1989","4",1560.12597
"258","US","1989","5",1281.86519
"259","US","1989","6",1510.40544
"260","US","1989","7",1890.25549
"261","US","1989","8",1037.97855
"262","US","1989","9",23.46161
"263","US","1989","10",21.4141
"264","US","1989","11",15.35546
"265","US","1989","12",0.15558
"266","US","1990","1",0.7897
"267","US","1990","2",0.06849
"268","US","1990","3",0.13971
"269","US","1990","4",323.64859
"270","US","1990","5",1525.88519
"271","US","1990","6",1852.46625
"272","US","1990","7",1935.46776
"273","US","1990","8",306.85569
"274","US","1990","9",750.36198
"275","US","1990","10",979.09591
"276","US","1990","11",440.19733
"277","US","1990","12",1517.39711
"278","US","1991","1",0.10977
"279","US","1991","2",0.01542
"280","US","1991","3",0.04536
"281","US","1991","4",2430.56338
"282","US","1991","5",4032.80857
"283","US","1991","6",1987.81776
"284","US","1991","7",5900.07509
"285","US","1991","8",2458.5473
"286","US","1991","9",2044.93366
"287","US","1991","10",3026.66313
"288","US","1991","11",2033.75442
"289","US","1991","12",54.66196
"290","US","1992","2",0.29121
"291","US","1992","3",0.07394
"292","US","1992","4",1071.62468
"293","US","1992","5",6784.51126
"294","US","1992","6",8759.37261
"295","US","1992","7",8434.29475
"296","US","1992","8",9364.41313
"297","US","1992","9",12130.88705
"298","US","1992","10",9581.73966
"299","US","1992","11",0.03946
"300","US","1992","12",0.00136
"301","US","1993","1",0.0567
"302","US","1993","2",0.03629
"303","US","1993","3",4.39213
"304","US","1993","4",1489.02174
"305","US","1993","5",2697.61634
"306","US","1993","6",11320.75747
"307","US","1993","7",13085.7625
"308","US","1993","8",12309.42645
"309","US","1993","9",1200.60684
"310","US","1993","10",0.08437
"311","US","1993","11",0.0254
"312","US","1993","12",0.07575
"313","US","1994","1",0.00181
"314","US","1994","3",209.90304
"315","US","1994","4",1828.21992
"316","US","1994","5",9142.82917
"317","US","1994","6",13304.272
"318","US","1994","7",12383.18556
"319","US","1994","8",17298.73796
"320","US","1994","9",7418.61389
"321","US","1994","10",8676.99071
"322","US","1994","11",3353.48369
"323","US","1994","12",0.02994
"324","US","1995","1",0.02177
"325","US","1995","2",0.00408
"326","US","1995","3",0.00499
"327","US","1995","4",2880.59822
"328","US","1995","5",20398.06432
"329","US","1995","6",26659.84848
"330","US","1995","7",24971.86661
"331","US","1995","8",37.50755
"332","US","1995","9",7.79907
"333","US","1995","10",4.35267
"334","US","1995","11",1.1172
"335","US","1995","12",0.7643
"336","US","1996","1",0.05625
"337","US","1996","2",0.44361
"338","US","1996","3",154.57702
"339","US","1996","4",715.55829
"340","US","1996","5",7338.18108
"341","US","1996","6",16542.40625
"342","US","1996","7",26938.62091
"343","US","1996","8",25692.55685
"344","US","1996","9",7728.72275
"345","US","1996","10",5.10881
"346","US","1996","11",8.23814
"347","US","1996","12",3.28265
"348","US","1997","1",0.32931
"349","US","1997","2",0.15014
"350","US","1997","3",0.73754
"351","US","1997","4",2063.26922
"352","US","1997","5",2284.30887
"353","US","1997","6",17690.60503
"354","US","1997","7",39037.26571
"355","US","1997","8",26306.76673
"356","US","1997","9",13.21224
"357","US","1997","10",8.05126
"358","US","1997","11",8.46494
"359","US","1997","12",2.93792
"360","US","1998","1",2.16953
"361","US","1998","2",4.06827
"362","US","1998","3",14.54217
"363","US","1998","4",1899.83808
"364","US","1998","5",1188.20563
"365","US","1998","6",18687.13295
"366","US","1998","7",29298.85116
"367","US","1998","8",19601.33159
"368","US","1998","9",13193.93384
"369","US","1998","10",3965.25143
"370","US","1998","11",0.71849
"371","US","1998","12",0.07031
"372","US","1999","1",3.6848
"373","US","1999","2",0.00272
"374","US","1999","3",0.01678
"375","US","1999","4",10.4089
"376","US","1999","5",77.46841
"377","US","1999","6",16214.43166
"378","US","1999","7",28483.06664
"379","US","1999","8",31818.71961
"380","US","1999","9",6858.53754
"381","US","1999","10",2.3106
"382","US","1999","11",0.4613
"383","US","1999","12",1.18161
"384","US","2000","1",0.24267
"385","US","2000","3",0.00907
"386","US","2000","4",411.88138
"387","US","2000","5",2798.94525
"388","US","2000","6",9698.79076
"389","US","2000","7",23454.9587
"390","US","2000","8",33240.86052
"391","US","2000","9",16236.1688
"392","US","2000","10",5.66446
"393","US","2000","11",1.71322
"394","US","2000","12",4.58083
"395","US","2001","1",0.44543
"396","US","2001","2",0.01179
"397","US","2001","3",7.67614
"398","US","2001","4",608.94322
"399","US","2001","5",1382.69243
"400","US","2001","6",12696.9413
"401","US","2001","7",30111.148
"402","US","2001","8",23005.5514
"403","US","2001","9",5591.27575
"404","US","2001","10",0.00771
"405","US","2001","11",6.67144
"406","US","2001","12",0.27987
"407","US","2002","1",2.5002
"408","US","2002","2",0.25945
"409","US","2002","3",0.2649
"410","US","2002","4",758.98114
"411","US","2002","5",833.91959
"412","US","2002","6",19921.46302
"413","US","2002","7",24019.27818
"414","US","2002","8",168.72366
"415","US","2002","9",2.13324
"416","US","2002","11",0.00045
"417","US","2002","12",0.13653
"418","US","2003","1",0.56064
"419","US","2003","2",0.43998
"420","US","2003","3",0.67676
"421","US","2003","4",563.81078
"422","US","2003","5",922.83141
"423","US","2003","6",25524.37024
"424","US","2003","7",24584.74775
"425","US","2003","8",2551.7179
"426","US","2003","9",1179.45538
"427","US","2003","10",4.90606
"428","US","2003","11",1.47962
"429","US","2003","12",0.00318
"430","US","2004","1",2.44758
"431","US","2004","2",0.19913
"432","US","2004","3",2.80547
"433","US","2004","4",2474.72921
"434","US","2004","5",4648.88267
"435","US","2004","6",22464.62072
"436","US","2004","7",44280.72819
"437","US","2004","8",22628.98809
"438","US","2004","10",0.00091
"439","US","2004","12",0.00544
"440","US","2005","2",0.00045
"441","US","2005","3",0.05715
"442","US","2005","4",1312.51897
"443","US","2005","5",3745.20334
"444","US","2005","6",25644.44975
"445","US","2005","7",46098.20433
"446","US","2005","8",28597.01222
"447","US","2005","9",3173.74454
"448","US","2005","10",479.84811
"449","US","2005","11",0.11294
"450","US","2005","12",1.0859
"451","US","2006","2",0.01134
"452","US","2006","3",1.78851
"453","US","2006","4",2596.71834
"454","US","2006","5",2881.94267
"455","US","2006","6",30207.598065161
"456","US","2006","7",59700.40396
"457","US","2006","8",9432.87428
"458","US","2006","9",8188.69308
"459","US","2006","10",11350.97398
"460","US","2006","11",1856.51275
"461","US","2006","12",947.53224
"462","US","2007","2",0.01497
"463","US","2007","3",0.47673
"464","US","2007","4",704.98097
"465","US","2007","5",2867.64362
"466","US","2007","6",29500.422615924
"467","US","2007","7",35624.40405
"468","US","2007","8",5255.79566
"469","US","2007","9",7519.58492
"470","US","2007","10",5859.71807
"471","US","2007","11",3590.42674
"472","US","2007","12",517.75035
"473","US","2008","1",0.21442
"474","US","2008","2",0.21557
"475","US","2008","3",0.18999
"476","US","2008","4",0.00635
"477","US","2008","5",52914.86912
"478","US","2008","6",26044.29688
"479","US","2008","7",8464.83034
"480","US","2008","8",44667.72087
"481","US","2008","9",10241.20274
"482","US","2008","10",51594.90408
"483","US","2008","11",36884.63793
"484","US","2008","12",17682.73261
"485","US","2009","1",0.00091
"486","US","2009","2",0.00363
"487","US","2009","3",0.02409
"488","US","2009","4",0.03302
"489","US","2009","5",25806.86725
"490","US","2009","6",27099.52978
"491","US","2009","7",18906.2099
"492","US","2009","8",7878.63241
"493","US","2009","9",14464.90547
"494","US","2009","10",11404.76362
"495","US","2009","11",9589.39853
"496","US","2009","12",6173.70038
"497","US","2010","1",0.01361
"498","US","2010","2",2.18817
"499","US","2010","3",6.18844
"500","US","2010","4",0.78378
"501","US","2010","5",31442.58596
"502","US","2010","6",24749.5993
"503","US","2010","7",10719.93737
"504","US","2010","8",26248.63831
"505","US","2010","9",31001.69544
"506","US","2010","10",28003.78372
"507","US","2010","11",13855.50807
"508","US","2010","12",5012.12646
"509","US","2011","1",0.71395
"510","US","2011","2",0.56926
"511","US","2011","3",0.52345
"512","US","2011","4",2.02706
"513","US","2011","5",31096.27714
"514","US","2011","6",24590.85209
"515","US","2011","7",30976.522628477
"516","US","2011","8",34544.15981
"517","US","2011","9",27125.075368775
"518","US","2011","10",28393.241510938
"519","US","2011","11",40584.52324
"520","US","2011","12",13946.65189
"521","US","2012","1",0.78834
"522","US","2012","2",0.85321
"523","US","2012","3",0.58604
"524","US","2012","4",2.00488
"525","US","2012","5",24611.88743
"526","US","2012","6",7801.941419746
"527","US","2012","7",11708.010281512
"528","US","2012","8",20599.23587
"529","US","2012","9",32417.01562
"530","US","2012","10",51133.70728
"531","US","2012","11",11319.37632
"532","US","2012","12",548.73836
"533","US","2013","1",1.09225
"534","US","2013","2",2.81953
"535","US","2013","3",1.76039
"536","US","2013","4",5.22674
"537","US","2013","5",29576.73564
"538","US","2013","6",17660.955238431
"539","US","2013","7",22229.46561
"540","US","2013","8",35541.869297725
"541","US","2013","9",49458.66023
"542","US","2013","10",59196.27139
"543","US","2013","11",19901.12781
"544","US","2013","12",2.48433
"545","US","2014","1",0.93758
"546","US","2014","2",1.3009
"547","US","2014","3",4.60895
"548","US","2014","4",4.64501
"549","US","2014","5",47073.66932
"550","US","2014","6",21057.28628
"551","US","2014","7",21720.43504
"552","US","2014","8",33736.17496
"553","US","2014","9",59683.033239964
"554","US","2014","10",61774.54169
"555","US","2014","11",18640.03289
"556","US","2014","12",444.60494
"557","US","2015","1",1.27686
"558","US","2015","2",0.82064
"559","US","2015","3",1.52021
"560","US","2015","4",21.83594
"561","US","2015","5",48628.11056
"562","US","2015","6",27774.80999
"563","US","2015","7",17246.47232
"564","US","2015","8",16244.48587
"565","US","2015","9",18751.05785
"566","US","2015","10",17451.90496
"567","US","2015","11",8036.02675
"568","US","2015","12",1.59665
"569","US","2016","1",0.94166
"570","US","2016","2",1.55129
"571","US","2016","3",2.80774
"572","US","2016","4",3.43437
"573","US","2016","5",49339.504877962
"574","US","2016","6",42768.39369
"575","US","2016","7",25312.26695
"576","US","2016","8",24082.43513
"577","US","2016","9",51717.371687763
"578","US","2016","10",51689.87083
"579","US","2016","11",17400.48042
"580","US","2016","12",8.049
"581","US","2017","1",1.2408
"582","US","2017","2",1.97494
"583","US","2017","3",12.03789
"584","US","2017","4",2.94368
"585","US","2017","5",47305.79839
"586","US","2017","6",68125.15931
"587","US","2017","7",30238.32066
"588","US","2017","8",33178.61342
"589","US","2017","9",81627.85915
"590","US","2017","10",83323.8924
"591","US","2017","11",10409.56932
"592","US","2017","12",1.67013
"593","US","2018","1",3.56433
"594","US","2018","2",0.56105
"595","US","2018","3",1.09987
"596","US","2018","4",29.7611
"597","US","2018","5",56214.89242
"598","US","2018","6",73113.17782
"599","US","2018","7",30499.06081
"600","US","2018","8",31683.150883592
"601","US","2018","9",55977.95601
"602","US","2018","10",53991.78558
"603","US","2018","11",16789.73961
"604","US","2018","12",1.04825
"605","US","2019","1",0.38828
"606","US","2019","2",0.31616
"607","US","2019","3",1.34853
"608","US","2019","4",7.01766
"609","US","2019","5",76318.07386
"610","US","2019","6",77247.74691
"611","US","2019","7",34504.41691
"612","US","2019","8",33638.84454
"613","US","2019","9",36366.04631
"614","US","2019","10",40748.13657
"615","US","2019","11",18167.39413
"616","US","2019","12",2.62086
"617","US","2020","1",0.1554
"618","US","2020","2",0.2395
"619","US","2020","3",0.42307
"620","US","2020","4",5.28353
"621","US","2020","5",71180.60414
"622","US","2020","6",67081.44579
"623","US","2020","7",30714.67038
"624","US","2020","8",28594.99827
"625","US","2020","9",27857.52351
"626","US","2020","10",36987.30816
"627","US","2020","11",25351.37726
"628","US","2020","12",133.77436
